Codebuch,,
,,
Nodelist,,
id,Eindeutige Kennzeichnung des Knotens ,
name,Name Film/Name Akteur,
type,Film/Acter/....,
ranking_money,Platz im Zuschauerranking,
ranking_critics,Platz im Ranking bei Kritiker:innen,
year,Erscheinungsjahr Film/Gründungsjahr Firma/Geburtsjahr Person,
production,Produzent:innen,
screenplay,Drehbuchautor:innen,
cast1 - cast3,Hauptdarsteller:innen,
composer,Komponist:innen,
production_company,Produktionsfirmen,
box_office,Box office Einnahmen in Milliarden gerundet,
oscar,Anzahl gewonnener Oscars in Zahlen,
golden_globe,Anzahl gewonnener Golden Globes in Zahlen,
,,
,,
,,
,,
id,Name,
avatar,Avatar - Aufbruch nach Pandora,
avengers,Avengers: Endgame,
toni_erdmann,Toni Erdmann,
moonlight,Moonlight,
jcp,James Cameron Regie,
jcs,James Cameron Drehbuch,
sw,Sam Worthington,
zs,zoe saldana,
siw,Sigourney Weaver,
jh,James Horner,
20cs,20th Centuries Studios,"ursprünglich 20th Century Fox, von Disney 2019 aufgekauft"
le,Lightstorm Entertainment,
de,Dune Entertainment,2018 aufgekauft und heißt nun RatPac-Dune Entertainment
im,Ingenious Media,
mas,Maren Ade Drehbuch,
map,Maren Ade Regie,
sh,Sandra Hüller,
ps,Peter Simonischeck,
mw,Michael Wittenborn,
kf,Komplizen Film ,
co,coop99,
knm,KNM Home Entertainment,
mlf,Missing Link Films,